structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
9004,91,148955115,BS,CGMB,"central gray substance of midbrain, left",125252871,94,114,130,-3,-39,-5,15496,NA,NA,NA
9074,8,147628200,CX,SNC,"substantia nigra, pars compacta, left",127094343,109,120,106,-18,-15,-11,15496,9072,VTA_SN,substantia nigra
4400,8,147628315,CX,DTM,"medial group of nuclei, left",126421172,95,100,105,-4,-14,9,15496,12927,THAL,medial group of nuclei
4282,8,147628214,CX,BCd,"body of caudate nucleus, left",127653277,113,90,106,-22,-15,19,15496,12899,STR,body of the caudate nucleus
4258,8,147628345,CX,DG,"dentate gyrus, left",127001454,118,131,107,-27,-16,-22,15496,NA,NA,NA
9074,8,147628274,CX,SNC,"substantia nigra, pars compacta, left",126970581,109,123,106,-18,-15,-14,15496,9072,VTA_SN,substantia nigra
4288,8,147628228,CX,Pu,"putamen, left",126968577,129,118,107,-38,-16,-9,15496,4287,STR,putamen
4251,8,147628196,CX,S,"subiculum, left",127001456,114,138,106,-23,-15,-29,15496,12896,HIPP,subiculum
4360,7,147628359,CX,CeA,"central nucleus, left",120660870,119,124,92,-28,-1,-15,15496,4359,AMYG,central nucleus
4342,7,147628292,CX,BLA,"basolateral nucleus, left",126686407,118,130,92,-27,-1,-21,15496,4341,AMYG,basolateral nucleus
9456,91,148955196,BS,MBRa,"midbrain raphe nuclei, left",127707962,92,116,124,-1,-33,-7,15496,NA,NA,NA
4437,8,147628279,CX,ILc,"caudal group of intralaminar nuclei, left",126421173,100,108,105,-9,-14,1,15496,12921,THAL,caudal group of intralaminar nuclei
4409,8,147628260,CX,DTLd,"lateral group of nuclei, left, dorsal division",125699701,106,98,106,-15,-15,11,15496,12924,THAL,"lateral group of nuclei, dorsal division"
4507,8,156906866,CX,ZI,"zona incerta, left",127091799,108,112,106,-17,-15,-3,15496,4504,THAL,ventral thalamus
4506,8,147628363,CX,R,"reticular nucleus of thalamus, left",126426187,113,101,107,-22,-16,8,15496,4504,THAL,ventral thalamus
4432,8,147628347,CX,ILr,"rostral group of intralaminar nuclei, left",126421169,101,99,106,-10,-15,10,15496,12929,THAL,rostral group of intralaminar nuclei
4417,8,147628331,CX,DTLv,"lateral group of nuclei, left, ventral division",127020516,108,107,106,-17,-15,2,15496,12925,THAL,"lateral group of nuclei, ventral division"
4322,8,147628277,CX,Cl,"claustrum, left",126995493,125,102,106,-34,-15,7,15496,NA,NA,NA
4257,8,147628361,CX,CA4,"CA4 field, left",127001567,117,131,107,-26,-16,-22,15496,12895,HIPP,CA4 field
4379,7,147628272,CX,LA,"lateral nucleus, left",120660819,121,134,92,-30,-1,-25,15496,4378,AMYG,lateral nucleus
4342,7,147628252,CX,BLA,"basolateral nucleus, left",120660838,117,130,92,-26,-1,-21,15496,4341,AMYG,basolateral nucleus
4432,7,156906960,CX,ILr,"rostral group of intralaminar nuclei, left",126787185,96,101,91,-5,0,8,15496,12929,THAL,rostral group of intralaminar nuclei
4507,7,156906880,CX,ZI,"zona incerta, left",122788940,104,107,91,-13,0,2,15496,4504,THAL,ventral thalamus
4400,7,156906958,CX,DTM,"medial group of nuclei, left",126787173,98,107,91,-7,0,2,15496,12927,THAL,medial group of nuclei
4506,7,156906926,CX,R,"reticular nucleus of thalamus, left",122788913,104,99,91,-13,0,10,15496,4504,THAL,ventral thalamus
4648,7,156906910,CX,PeF,"perifornical nucleus, left",122819904,101,117,91,-10,0,-8,15496,4633,HYPO,tuberal region
4322,6,156906844,CX,Cl,"claustrum, left",126222139,112,123,84,-21,7,-14,15496,NA,NA,NA
9614,93,156888081,BS,LMRt,"lateral medullary reticular group, left",138023310,98,169,134,-7,-43,-60,15496,NA,NA,NA
9677,93,156888016,BS,Sp5,"spinal trigeminal nucleus, left",146145148,97,168,135,-6,-44,-59,15496,NA,NA,NA
9598,93,156887984,BS,GiRt,"gigantocellular group, left",128016866,95,168,136,-4,-45,-59,15496,NA,NA,NA
9561,93,156436154,BS,IO,"inferior olivary complex, left",116858029,93,167,132,-2,-41,-58,15496,NA,NA,NA
9598,93,156436070,BS,GiRt,"gigantocellular group, left",128147646,94,167,134,-3,-43,-58,15496,NA,NA,NA
9143,93,156435988,BS,7,"facial motor nucleus, left",116121892,93,167,133,-2,-42,-58,15496,NA,NA,NA
9492,92,148955220,BS,Pn,"pontine nuclei, left",115984169,101,135,115,-10,-24,-26,15496,NA,NA,NA
9103,91,148955182,BS,IC,"inferior colliculus, left",115732675,94,119,131,-3,-40,-10,15496,NA,NA,NA
4251,10,148955218,CX,S,"subiculum, left",138072210,123,106,131,-32,-40,3,15496,12896,HIPP,subiculum
9115,9,148955154,CX,SC,"superior colliculus, left",128014918,107,119,119,-16,-28,-10,15496,NA,NA,NA
4506,9,156906898,CX,R,"reticular nucleus of thalamus, left",127423828,124,103,119,-33,-28,6,15496,4504,THAL,ventral thalamus
4444,9,148955296,CX,MG,"medial geniculate complex, left",127820096,125,117,119,-34,-28,-8,15496,12926,THAL,medial geniculate complex
